user.email,user.referenceId,res.status,res.timings.duration,message,documentId
aryad.starry@yopmail.com,b6cbf1f6-d469-4973-8e77-9fc25724da5e,200,4204.1042,Success,0d7fb492-41ea-4e20-89da-88e1ae4da8b7
fay00533@yopmail.com,b6cbf1f6-d469-4973-8e77-9fc25724da5e,200,1441.7128,Success,673b58a8-5b12-482a-a543-f69faf86477d
nana_barat@yopmail.com,b6cbf1f6-d469-4973-8e77-9fc25724da5e,200,780.086,Success,d87cade5-01e3-48fe-830a-5a0ce11e8b6e
sysadminprita5@yopmail.com,b6cbf1f6-d469-4973-8e77-9fc25724da5e,200,6269.6141,Success,86d235d3-78de-49e1-a65c-1ae030bfba80
bola.sysadmin@yopmail.com,b6cbf1f6-d469-4973-8e77-9fc25724da5e,200,599.3842,Success,0df2e12a-bd75-492e-b01c-57860fa46af0
gina.barat@yopmail.com,b6cbf1f6-d469-4973-8e77-9fc25724da5e,200,533.9879,Success,3813ab83-7c9b-443c-9cb5-97318436f4d6
starry.admin@yopmail.com,b6cbf1f6-d469-4973-8e77-9fc25724da5e,200,5074.6877,Success,3f94f6cd-2a46-46bd-8d70-d2c99094f41f
fay00222@yopmail.com,b6cbf1f6-d469-4973-8e77-9fc25724da5e,200,5168.9557,Success,683ddb08-4b01-485e-8724-350d8c76cb5d
aryad.starry@yopmail.com,b6cbf1f6-d469-4973-8e77-9fc25724da5e,200,4885.2741,Success,d09618e4-355d-4848-bb29-2d7b9c7ed014
fay00533@yopmail.com,b6cbf1f6-d469-4973-8e77-9fc25724da5e,200,2371.6494,Success,5942bf1f-5113-43de-a4cf-8a2666b9e9e4
