user.email,user.referenceId,res.status,res.timings.duration,message,documentId
fay00533@yopmail.com,b6cbf1f6-d469-4973-8e77-9fc25724da5e,200,4582.6162,Success,c2ddeaff-a6f4-4776-8fa0-83da75187d12
bola.sysadmin@yopmail.com,b6cbf1f6-d469-4973-8e77-9fc25724da5e,200,1410.7888,Success,e7c52490-2d75-4387-ae3b-d80cf97a3f86
gina.barat@yopmail.com,b6cbf1f6-d469-4973-8e77-9fc25724da5e,200,3483.7111,Success,1d5d929d-0d2e-4843-98df-aed1e0050cab
sari.starry@yopmail.com,b6cbf1f6-d469-4973-8e77-9fc25724da5e,200,2379.3263,Success,877c7d18-170e-45aa-9ffe-08af15237e9f
bola.sysadmin@yopmail.com,b6cbf1f6-d469-4973-8e77-9fc25724da5e,200,1107.8223,Success,a6463f9d-7197-4805-9c80-2d9c2cfb27fd
nana_barat@yopmail.com,b6cbf1f6-d469-4973-8e77-9fc25724da5e,200,2493.607,Success,e29be6f8-f446-4911-af81-55452c384e55
aryad.starry@yopmail.com,b6cbf1f6-d469-4973-8e77-9fc25724da5e,200,4059.6345,Success,d20fa16d-4dfd-4e14-a153-b75e4fdfb982
admin.barat@yopmail.com,b6cbf1f6-d469-4973-8e77-9fc25724da5e,200,2042.8243,Success,1ab96de9-07d4-4a89-aa39-cd4a31a61867
bola.sysadmin@yopmail.com,b6cbf1f6-d469-4973-8e77-9fc25724da5e,200,1150.0533,Success,11e375e4-eb56-4421-a71b-635a322e8e15
sysadminprita5@yopmail.com,b6cbf1f6-d469-4973-8e77-9fc25724da5e,200,1407.9739,Success,30bd4469-95fc-4555-9281-46ef3558bec6
starry.admin@yopmail.com,b6cbf1f6-d469-4973-8e77-9fc25724da5e,200,2181.356,Success,2626b6e3-6ce5-467e-a6f9-320f64808414
nana_barat@yopmail.com,b6cbf1f6-d469-4973-8e77-9fc25724da5e,200,3171.0879,Success,f99ed602-0807-4fcb-b43b-af4146fe9677
bola.sysadmin@yopmail.com,b6cbf1f6-d469-4973-8e77-9fc25724da5e,200,1633.7627,Success,4cce1bdc-f54c-4af0-ad78-eb07a88f1d0e
fay00533@yopmail.com,b6cbf1f6-d469-4973-8e77-9fc25724da5e,200,5956.7377,Success,6e3f4181-b4b4-4914-819f-987d23fb6c3c
